pnames,pval
k_gri,0.0839440794848372
k_min,0.00835337801341601
k_max,0.119750025072833
b,0.958420455197819
d,0.0144237992409479
k_abs,0.0320222045925894
ProteinBreakdown,0.000554733144420678
aaTransportation_k,0.016806411225901
f,0.860823074179862
k_1,0.0626470222249361
U_ii,0.682768376830865
m_2,0.933389941905094
m_4,0.072044732057751
K,499.682029295614
S_b1,0.0135079941185866
S_b2,0.114790311864347
S_b3,0.00905358570757804
S_b4,0.00883256707235536
gamma,356.892835914846
K_m0,241.107755961632
V_m0,2.80262957746744
V_mX,0.113719865066969
K_f0,358.069778828542
V_f0,0.0403776575916559
V_fX,0.141291410255512
GLUT2_diffusionMax,3.59988411047252
GLUT2_diffusion0,7.13439300569036
Uidl_diffusionMax,0.430378212993808
Uidl_diffusion0,0.80631767701781
EGP_KidneysK,0.68098227331026
k_2,0.248809063692442
k_i,0.290794914756065
G_b1,25.3179646320843
G_b2,27.3610308256938
G_b3,51.9914955051518
G_b4,87.7866866413904
V_glyBmax,4.06341981203977
GlyB,78.9986251993887
V_glySmax,4.96915614051847
GlyS,0.84713908807718
CrebUsage_K,1.15997376085486
Gluconeogenesis_CrebK,1.46159698798796
PyruvateTranslocase_K,0.00970844755854696
PyruvateOxi_k,0.0402090531412107
Aminoprofile_k,0.615776161074206
Glycolysis_k,0.106697423362542
GlycolysisEXP,0.0593189391581576
InsDepEXP,1.22456278154436
m_1,0.21920002662838
m_5,0.0985746770272397
m_6,0.287147082849748
alpha,4.05013069942436
beta,0.0791298654607789
InsulinLiverResponseK,0.118044567344243
DifferentInsulinTolerance_1,1.30822394902516
DifferentInsulinTolerance_2,1.2120598522841
DifferentInsulinTolerance_3,0.506649218193899
DifferentInsulinTolerance_4,1.67349399832541
DifferentInsulinResponse_1,0.898226648521427
DifferentInsulinResponse_2,0.73373862957503
DifferentInsulinResponse_3,0.480687265172759
DifferentInsulinResponse_4,1.3484684783142
DifferentInsulinDegradation_1,5.56115528777571
DifferentInsulinDegradation_2,1.54160230660246
DifferentInsulinDegradation_3,0.719951195104566
DifferentInsulinDegradation_4,0.592836696660189
GlyDep_Meal,465.930811924056
GlyDep_TCA,277.804272297742
GlyDep_Glugoneogenesis,838.295305591158
GlyDep_KidneysEGP,60.494257575164
GlyDepEXP_Meal,0.963022439845712
GlyDepEXP_TCA,0.676803648324036
GlyDepEXP_Glugoneogenesis,1.03366828633635
GlyDepEXP_KidneysEGP,0.0668562935013553

BloodVolumeUncertainty,0.865602344769732
BloodLiverUncerteinty,0.991765314030113
meal_length1,7.65319643208522
meal_start1,51.1924709861298
carb_amount1,42.9494042530472
protein_amount1,70.1137378974895

BloodVolumeUncertainty2,0
BloodLiverUncerteinty2,0
meal_length1_2,1
meal_start1_2,0
carb_amount1_2,0
protein_amount1_2,0

BloodVolumeUncertainty3,0
BloodLiverUncerteinty3,0
meal_length1_3,1
meal_start1_3,0
carb_amount1_3,0
protein_amount1_3,0

BloodVolumeUncertainty4,0
BloodLiverUncerteinty4,0
meal_length1_4,1
meal_start1_4,0
carb_amount1_4,0
protein_amount1_4,0

meal_solid1,1
meal_liquid1,0
meal_boolean1,0
female_boolean,1
male_boolean,0
Height,178
BW_start,84

CountMeal1_1,1
CountMeal1_2,0
CountMeal1_3,0
CountMeal1_4,0

meal_length2,3
meal_start2,0
carb_amount2,2.6
protein_amount2,25.55
meal_solid2,1
meal_liquid2,0
meal_boolean2,0
D,2600
